"No.","Time","Source","Destination","Length","Info","Value"
"2946","416.321851","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313019900"
"2947","417.431838","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060635"
"2948","417.851763","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c1"
"2949","419.412145","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060630"
"2950","419.982336","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506bb"
"2951","420.611911","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045035b200a00"
"2952","421.512430","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313010200"
"2953","421.573730","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062c"
"2954","422.081805","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c2"
"2955","422.712010","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450342200200"
"2956","422.742181","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060630"
"2957","422.862217","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313010200"
"2958","423.701909","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450342200400"
"2959","423.822235","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450309200100"
"2960","423.882380","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450313010200"
"2961","424.181707","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506cd"
"2962","424.241698","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062b"
"2963","424.571842","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060630"
"2964","424.782149","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450342200600"
"2965","425.052311","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062b"
"2966","425.501735","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045031301b700"
"2967","425.502246","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303180200"
"2968","425.561961","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2969","425.595135","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450304300b01"
"2970","425.621796","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450352380000"
"2971","425.682433","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2972","425.713297","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450352380000"
"2973","425.742401","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"2974","425.772134","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2975","425.802175","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","080045036e380000"
"2976","425.832170","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303386400"
"2977","426.012109","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450362380000"
"2978","426.162501","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450312370700"
"2979","426.282549","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c9"
"2980","430.482034","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c6"
"2981","431.171928","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","06000106062d"
"2982","432.042328","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303180500"
"2983","432.491945","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"2984","432.581863","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506c5"
"2985","434.711922","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506ca"
"2986","436.091949","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450301180000"
"2987","436.093180","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450303180000"
"2988","436.242232","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450362380000"
"2989","436.813422","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506cc"
"2990","437.802068","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060636"
"2991","441.042167","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506cd"
"2992","443.141997","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506ce"
"2993","447.372332","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506d1"
"2994","449.473509","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506d2"
"2995","455.076065","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060001120132"
"2996","455.125086","(Galaxy Note10+)","(LEGO Mario_g_g)","18","Sent Write Command, Handle: 0x0012","060001120132"
"2998","455.443089","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"2999","455.802926","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506d1"
"3000","457.272815","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060636"
"3001","457.932762","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506d0"
"3002","458.112593","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","060001060632"
"3003","459.252776","(LEGO Mario_g_g)","(Galaxy Note10+)","20","Rcvd Handle Value Notification, Handle: 0x0012","0800450309200200"
"3004","460.033245","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506d1"
"3005","464.262937","(LEGO Mario_g_g)","(Galaxy Note10+)","18","Rcvd Handle Value Notification, Handle: 0x0012","0600010506d2"
